Código;Descripción;Ref.prov;Prov.;Costo;Venta;Stock();Margen;Real
;REJILLA SOLID VALVE NORMAL VOLCANO;;1;3,23;7,01;0;0;79,26
;ABRAZADERA METAL 200 MM;ABRAZADERA-01;2;0,55;2;0;0;200
;ABRAZADERA METAL 250 MM;ABRAZADERA-02;2;0,73;2,5;0;0;183,56
;ABRAZADERA METAL 150 MM;ABRAZADERA-03;2;0,63;1,5;0;0;96,83
;ABRAZADERA METAL 315 MM;ABRAZADERA-04;2;0,85;3;0;0;191,76
;ABRAZADERA METAL 125 MM;ABRAZADERA-05;2;0,76;1;0;0;9,21
;ACIDO GIBERELICO 1 L;ACIDO GIBE.-01;6;16,71;32;0;0;74,09
;ACIDO GIBERELICO 5 L;ACIDO GIBE.-02;6;58,33;110;0;0;71,44
;POWER ENZYMAS + 500 ML;AD-HY-HOLLA-04;2;8,02;16;0;0;64,84
;POWER EXCELLARATOR 500 ML;AD-HY-HOLLA-05;2;11,29;22;0;0;61,03
;POWER ROOT STIMULATOR 500 ML;AD-HY-HOLLA-06;2;11,64;23;0;0;63,32
;CONNOISSEUR A+B 4 L;ADVANCED N.-01;23;59,07;110;0;0;69,29
;BUD CANDY 1 L;ADVANCED N.-02;23;15,5;30;0;0;59,94
;TARANTULA 130 G;ADVANCED N.-03;23;27,66;50;-1;0;49,39
;FULVIC ACID F-1 1 L;ADVANCED N.-04;23;14,55;27;0;0;53,33
;PIRANHA 130 GRS;ADVANCED N.-05;23;22,86;50;-1;0;80,75
;PIRANHA 50 GRS;ADVANCED N.-06;23;12,69;29;0;0;88,89
;ORGANIC B 1 L;ADVANCED N.-07;23;9,7;18;0;0;53,4
;BIG BUD 1 L;ADVANCED N.-08;23;18,61;34;-4;0;50,99
;OVERDRIVE 1 L;ADVANCED N.-09;23;10,5;19;-1;0;49,52
;JUNGLE JUICE BLOOM A+B 1 L;ADVANCED N.-10;23;5,32;12;0;0;86,47
;TARANTULA 50 G;ADVANCED N.-11;23;12,69;29;0;0;88,89
;HAMMERHEAD PK 4/10  1 L;ADVANCED N.-12;23;6,13;12;0;0;61,83
;OVERDRIVE 10 L;ADVANCED N.-13;23;51,87;100;0;0;75,27
;SENSIZYM 1 L;ADVANCED N.-14;23;10,1;19;0;0;55,45
;NIRVANA 1 L;ADVANCED N.-15;23;12,29;27;0;0;81,53
;BIG BUD 1 KG;ADVANCED N.-16;23;85,61;144,99;0;0;39,97
;CARBOLOAD 500 ML;ADVANCED N.-17;23;7,9;15;0;0;56,96
;IGUANA GROW 1 L;ADVANCED N.-18;23;10,5;20;-4;0;57,43
;IGUANA BLOOM 1 L;ADVANCED N.-19;23;10,5;20;-1;0;57,43
;IGUANA GROW 10 L;ADVANCED N.-20;23;43,63;76;0;0;58,35
;SENSI GROW A+B 1 L;ADVANCED N.-22;23;10,76;20;0;0;53,62
;SENSI BLOOM A+B 1 L;ADVANCED N.-23;23;10,76;20;-1;0;53,62
;BUD BLOOD 40 GRS;ADVANCED N.-25;23;11,17;21,01;-1;0;55,42
;JUICY ROOTS 60 ML;ADVANCED N.-27;23;14,11;26;0;0;52,3
;JUICY ROOTS 120 ML;ADVANCED N.-28;23;20,68;36;0;0;43,86
;CONNOISSEUR A+B 1 L;ADVANCED N.-29;23;23,71;42;0;0;46,39
;BIG BUD 130 G;ADVANCED N.-30;23;14,59;26;-1;0;47,29
;FINAL PHASE 1 L;ADVANCED N.-31;23;5,12;12;0;0;93,75
;SENSICAL GROW 1 L;ADVANCED N.-35;2;10,78;20;0;0;53,34
;SENSICAL BLOOM 1 L;ADVANCED N.-36;2;10,78;20;0;0;53,34
;CARBOLOAD 4 L;ADVANCED N.-37;23;24,46;48;-1;0;78,41
;CARBOLOAD 600 GR POWDER;ADVANCED N.-38;23;23,7;44;0;0;53,42
;SENSI GROW A+B 4 L;ADVANCED N.-39;23;26,81;50;0;0;69,53
;SENSI BLOOM A+B 4 L;ADVANCED N.-40;23;26,81;50;0;0;69,53
;BUD BLOOD 300 GRS;ADVANCED N.-41;23;65,31;135;0;0;70,83
;PIRANHA 500 GRS;ADVANCED N.-42;23;75;150;0;0;65,29
;IGUANA GROW 4 L;ADVANCED N.-43;23;23,79;46;0;0;75,79
;IGUANA BLOOM 4 L;ADVANCED N.-44;23;23,79;46;-1;0;75,79
;CARBOLOAD 1 L;ADVANCED N.-45;23;11,68;22;0;0;55,65
;ORGANIC B 4 L;ADVANCED N.-47;23;26,17;48;0;0;66,76
;B-52  1 L;ADVANCED N.-48;23;12,81;28;-1;0;80,64
;SENSIZYM 4 L;ADVANCED N.-49;23;23,79;49,01;0;0;87,26
;TARANTULA 500 G;ADVANCED N.-51;23;75;150;0;0;65,29
;BIG BUD 4 L;ADVANCED N.-52;23;42,12;82,01;0;0;76,99
;WET BETTY 1 L;ADVANCED N.-53;23;8,89;17;0;0;58,04
;RHINO SKIN 1 L;ADVANCED N.-54;23;12,81;30;-1;0;93,52
;BUD IGNITOR 1 L;ADVANCED N.-55;23;43,43;80,01;0;0;52,25
;HAMMERHEAD PK 4/10  4 L;ADVANCED N.-56;23;21,44;40;0;0;69,59
;VOODOO JUICE 1 L;ADVANCED N.-57;23;25,63;56;-2;0;80,57
;OVERDRIVE 4 L;ADVANCED N.-58;23;27,45;54;0;0;78,83
;B-52  4 L;ADVANCED N.-59;23;34,49;68;0;0;79,24
;GROW 1 L (3-PARTES);ADVANCED N.-60;23;6,2;12;0;0;60
;SENSI BLOOM A+B 10 L;ADVANCED N.-61;23;44,7;80;0;0;62,71
;SENSI GROW A+B 10 L;ADVANCED N.-62;23;44,7;80;0;0;62,71
;BUD CANDY 4 L;ADVANCED N.-63;23;35,1;72;0;0;86,47
;PIRANHA 1 L;ADVANCED N.-64;23;43,47;95;0;0;80,61
;TARANTULA 1 L;ADVANCED N.-65;23;43,47;95;0;0;80,61
;BLOOM (PH PERFECT) 1 L;ADVANCED N.-66;23;6,2;12;0;0;60
;MICRO (PH PERFECT) 1 L;ADVANCED N.-67;23;6,2;12;0;0;60
;GROW (PH PERFECT) 1 L;ADVANCED N.-68;23;6,2;12;0;0;60
;BUD FACTOR X 1 L;ADVANCED N.-69;23;25,63;56;0;0;80,57
;WET BETTY ORGANIC 1 L;ADVANCED N.-70;23;10,77;20;0;0;53,48
;CARBOLOAD 10 L;ADVANCED N.-71;23;49,48;98;-1;0;80,05
;B-52 10 L;ADVANCED N.-72;23;76,35;150;0;0;78,6
;BIG BUD 10 L;ADVANCED N.-73;23;85,53;165;0;0;75,38
;MOTHER EARTH ORGANIC TEA BLOOM 1 L;ADVANCED N.-74;23;6,2;12;0;0;60
;NO SHOCK 1 L;ADVANCED N.-75;23;8,33;16;0;0;58,7
;MOTHER EARTH ORGANIC TEA GROW 1 L;ADVANCED N.-76;23;6,2;12;0;0;60
;CONNOISSEUR A+B 10 L;ADVANCED N.-77;23;89,56;170,01;0;0;72,57
;NIRVANA 4 L;ADVANCED N.-78;23;40,29;80;-1;0;80,52
;IGUANA BLOOM 10 L;ADVANCED N.-79;23;39,66;82,01;0;0;87,97
;SENSIZYM 10 L;ADVANCED N.-80;23;57,06;106;0;0;68,87
;JUNGLE JUICE GROW A+B 1 L;ADVANCED N.-81;23;5,32;12;-1;0;86,47
;CRITICAL 3 UNID. FEMINIZADAS;ADVANCED S.-01;2;8,8;17;0;0;75,57
;AUTO BIODIESEL MASS 3 UNID.;ADVANCED S.-02;2;9,68;19;0;0;78,41
;AUTO BIODIESEL MASS 1 UNID.;ADVANCED S.-03;2;3,3;6;0;0;65,15
;AUTO SKUNK MASS 1 UNID. FEMINIZADAS;ADVANCED S.-04;2;2,8;5,01;0;0;62,5
;AUTO SOMANGO 3 UNID.;ADVANCED S.-05;2;7,65;15;0;0;78,3
;AIRE ACONDICIONADO TUTTO 2350 FRIGORIAS;AIRE ACONDIO-0;24;180,29;250;0;0;14,6
;ONA GEL PARA BREEZE 3,8 L (PRO,POLAR CRYSTAL, LINO;ANTIOLOR-01;2;28,42;60;0;0;74,49
;ONA GEL 1 L (PRO, POLAR CRYSTAL, LINO FRESCO);ANTIOLOR-02;2;13,69;25;0;0;50,91
;ONA DISPENSADOR BREEZE CON VENTILADOR;ANTIOLOR-03;2;41,6;77;0;0;52,98
;ONA BLOCK 170 GR (PRO,POLAR CRYTAL,LINO FRESCO);ANTIOLOR-04;2;6,39;14;0;0;81,06
;ONA GEL 20 L (PRO,POLAR CRYTAL,LINO FRESCO);ANTIOLOR-06;2;120,78;230;-1;0;57,38
;DISPENSADOR ONA CYCLONE;ANTIOLOR-07;2;74,88;132;0;0;45,69
;ONA CONTROL DUCT 152 MM;ANTIOLOR-08;2;37,11;72;0;0;60,33
;ONA CONTROL DUCT 254 MM;ANTIOLOR-10;2;48,4;90;0;0;53,68
;ONA CONTROL DUCT 305 MM;ANTIOLOR-11;2;56,47;105;0;0;53,67
;ONA CONTROL DUCT 203 MM;ANTIOLOR-12;2;43,56;82;0;0;55,58
;CAJA ANTIRUIDO 125 MM;ANTIRUIDO-01;6;36,49;67;0;0;51,74
;CAJA ANTIRUIDO 150 MM;ANTIRUIDO-02;6;48,87;87;0;0;47,13
;CAJA ANTIRUIDO 250 MM;ANTIRUIDO-03;6;59,9;99,99;0;0;37,96
;CAJA ANTIRUIDO 200 MM;ANTIRUIDO-04;6;53,24;92;0;0;42,81
;HYDROTON 5 L;ARCILLA-01;2;2,72;5;0;0;51,84
;HYDROTON 10 L;ARCILLA-02;2;4,54;9;0;0;63,88
;HYDROTON 25 L;ARCILLA-03;2;9,62;18;0;0;54,68
;HYDROTON 50 L;ARCILLA-04;2;12,87;23;0;0;62,47
;DARK ROOM2 60x60x160 CM;ARMARIO-01;2;82,62;144;0;0;44,05
;DARK ROOM2 90x90x180 CM;ARMARIO-02;2;90,13;185;0;0;69,63
;DARK ROOM2 120x120x200 CM;ARMARIO-03;2;145,4;240;0;0;36,42
;DARK ROOM2 150x150x200 CM;ARMARIO-04;2;188,36;279,99;0;0;22,85
;DARK ROOM2 240x240x200 CM;ARMARIO-05;2;429,6;564,01;0;0;8,5
;DARK ROOM 2 V2.5 WIDE 240x120x200 CM;ARMARIO-06;2;218,49;380;0;0;43,74
;DARK ROOM 40x40x120 CM;ARMARIO-07;2;42,7;80,01;0;0;54,85
;DARK ROOM 100x100x200 CM;ARMARIO-08;2;106,77;185;0;0;43,2
;DARK ROOM 80x80x160 CM;ARMARIO-09;2;85,41;147;0;0;42,24
;HOMEBOX  XS 60x60x120 CM;ARMARIO-10;2;76,84;135;0;0;45,2
;HOMEBOX L 100x100x200 CM;ARMARIO-11;2;126,69;215;0;0;40,26
;HOMEBOX XL 120x120x200 CM;ARMARIO-12;2;139,22;230;0;0;36,53
;HOMEBOX TWIN 120x80x200 CM;ARMARIO-13;6;147,45;240;0;0;34,52
;HOMEBOX CONECTOR 3 VIAS (8-UNID.);ARMARIO-14;2;3,22;6;0;0;54,04
;DARK BOX 100x100x200 CM;ARMARIO-15;6;95,06;139;0;0;20,85
;BRIDA HOMEBOX 160 MM;ARMARIO-17;2;10,77;21,01;0;0;61,19
;CLONEBOX LIGHT 125x65x120 CM;ARMARIO-18;2;121,47;215;0;0;46,28
;ARMARIO GT 240x120x200 CM;ARMARIO-19;2;163,35;278;0;0;40,65
;CLONEBOX CON VENTANAS 125x65x120 CM;ARMARIO-20;2;164,23;295;0;0;48,45
;DARK STREET 2  V2.5 90x90x170 CM;ARMARIO-21;2;85,92;165;0;0;58,71
;REDUCCION DE BOCA HOMEBOX 160/100 MM;ARMARIO-22;2;7,87;15;0;0;57,56
;REDUCCION DE BOCA HOMEBOX 160/125 MM;ARMARIO-23;6;13,75;26;0;0;56,29
;HYDRO NUTRITION A+B 1 L;ATAMI-01;2;5,78;11;0;0;57,27
;HYDRO NUTRITION A+B 5 L;ATAMI-02;2;18,14;36;0;0;80,43
;COCO NUTRITION A+B 1 L B'CUZZ;ATAMI-03;2;6,03;11;0;0;50,75
;WORTEL STIMULATOR 1 L;ATAMI-04;2;32,96;58;0;0;45,42
;SOIL NUTRITION A + B  1 L B'CUZZ;ATAMI-05;2;4,98;11;0;0;82,53
;ATA-CLEAN 1 L;ATAMI-06;2;11,57;22;0;0;57,13
;BIOPROTECCIONES TAKE CARE 50 ML;ATAMI-07;1;9,68;16;0;0;36,57
;UNIBOOSTER 1 L B'CUZZ;ATAMI-08;2;21,17;31;0;0;21,02
;SLAB COCO B'CUZZ 19 L;ATAMI-09;2;2,3;5;0;0;79,57
;PK 13-14  1 L ATAMI;ATAMI-10;2;6,2;12;0;0;60
;BOOSTER HYDRO SKUNK 1 L B'CUZZ;ATAMI-11;1;11,34;22;0;0;76,37
;COCO BLOOMSTIMULATOR 1 L B'CUZZ;ATAMI-12;2;22,43;42;0;0;54,75
;FLAVOR 1 L;ATAMI-13;2;5,23;12;0;0;89,68
;BLOOMBASTIC 250 ML;ATAMI-14;2;27,9;51;0;0;51,08
;BLOOMBASTIC 325 ML;ATAMI-15;2;25,73;56;0;0;79,87
;BLOOMBASTIC 1250 ML;ATAMI-16;2;84,24;135;0;0;45,69
;COCO NUTRITION A+ B 5 L  B'CUZZ;ATAMI-17;2;18,14;35;-2;0;75,41
;HYDRO NUTRITION A+B 10 L;ATAMI-18;2;30,05;55;0;0;66,39
;BLOOMBASTIC 5,5 L;ATAMI-19;2;327,79;474;0;0;31,46
;WORTEL STIMULATOR 5 L;ATAMI-20;2;135,96;235;0;0;57,13
;ATAZYME 1 L;ATAMI-21;2;6,24;12;0;0;58,97
;B'CUZZ TABLETAS EFERVESCENTES (16unid.);ATAMI-22;2;47,59;87;0;0;51,08
;COCO 50 L SACO DE FIBRA ATAMI;ATAMI-23;2;6,82;13;-3;0;73,31
;PK 13-14  5 L  ATAMI;ATAMI-24;2;25,26;45;0;0;61,96
;BLOOM STIMULATOR 5 L B'CUZZ;ATAMI-25;2;89,88;145;0;0;46,66
;BLOOM STIMULATOR 1 L B'CUZZ;ATAMI-26;2;18,54;40;0;0;78,32
;BLOOMBASTIC 100 ML;ATAMI-27;2;9,18;17;0;0;53,05
;FLAVOR 5 L;ATAMI-28;2;22,6;42;0;0;68,94
;SOIL NUTRITION A + B  5 L B'CUZZ;ATAMI-29;2;19,95;36;0;0;64,06
;HYDRO BOOSTER T44 1 L B'CUZZ;ATAMI-30;2;14,28;26;0;0;50,49
;HYDRO BOOSTER B'CUZZ UNI 5 L B'CUZZ;ATAMI-31;2;65,34;99,99;0;0;26,48
;ATAZYME 5 L;ATAMI-32;2;25,19;52;0;0;87,65
;BOX ATA/AWA BLOOMBASTIC ATAMI;ATAMI-33;2;30,19;54,99;0;0;50,55
;JANECO LIGHT 50 L;ATAMI-34;2;5,39;12;2;0;102,41
;BLOOMBASTIC BOX ATA/TERRA B'CUZZ;ATAMI-35;2;30,19;54,99;0;0;50,55
;ATA-CLEAN 5 L;ATAMI-36;2;49,57;85;0;0;55,88
;COCO BLOOMSTIMULATOR 5 L B'CUZZ;ATAMI-37;2;89,88;180;0;0;82,07
;COCO BOOSTER UNI 5 L B'CUZZ;ATAMI-38;2;59,99;110;0;0;66,69
;HYDRO BOOSTER UNI 5 L B'CUZZ;ATAMI-39;2;59,99;110;0;0;66,69
;PLANT VITALITY PLUS 500 ML;B.A.C.-01;2;17,97;35,01;0;0;60,99
;ESTIMULANTE DE RAICES 60 ML;B.A.C.-02;2;14,59;28;0;0;74,43
;ORGANIC BLOOM 5 L;B.A.C.-03;2;29,04;55;0;0;72,18
;ORGANIC BLOOM 1 L;B.A.C.-04;2;7,87;15;0;0;73,32
;ORGANIC GROW 1 L;B.A.C.-05;2;7,87;15;0;0;73,32
;ORGANIC PK BOOSTER 1 L B.A.C.;B.A.C.-06;2;23,96;45;0;0;55,22
;ORGANIC GROW 5 L;B.A.C.-07;2;29,04;55;0;0;72,18
;CHEESE 5 UNID. FEMINIZADAS;B.BUDDHA SE-01;1;19,7;40;0;0;84,57
;BACTOHEMP 10 gr 1unid.;BACTOHEMP-01;2;3,59;5;0;0;15,04
;BALASTRO LUMATEK 1000 W CON POTENCIOMETRO;BALASTRO-01;2;228,69;350;0;0;26,49
;BALASTRO 250 W ETI;BALASTRO-04;2;25,41;49,01;0;0;59,39
;BALASTRO 400 W ETI;BALASTRO-05;2;32,31;60;0;0;53,48
;BALASTRO 600 W ETI;BALASTRO-06;2;41,14;74;-1;0;48,66
;BALASTRO 600 W ELECTRONICO HACIENDA;BALASTRO-08;2;107,45;164;0;0;26,14
;BALASTRO ETI CLASSE 2 600 W;BALASTRO-09;2;53,05;92;0;0;43,32
;BALASTRO ETI CLASSE 2 400 W;BALASTRO-10;2;47,8;84;0;0;45,23
;BALASTRO GAVITA 600 W CON POTENCIOMETRO;BALASTRO-11;2;119,55;195;0;0;34,81
